Date,Time,US cases
1/31/2020,0,5
2/1/2020,1,5
2/2/2020,2,8
2/3/2020,3,8
2/4/2020,4,8
2/5/2020,5,11
2/6/2020,6,11
2/7/2020,7,11
2/8/2020,8,12
2/9/2020,9,12
2/10/2020,10,12
2/11/2020,11,13
2/12/2020,12,13
2/13/2020,13,13
2/14/2020,14,15
2/15/2020,15,15
2/16/2020,16,15
2/17/2020,17,15
2/18/2020,18,15
2/19/2020,19,15
2/20/2020,20,15
2/21/2020,21,35
2/22/2020,22,35
2/23/2020,23,35
2/24/2020,24,53
2/25/2020,25,57
2/26/2020,26,60
2/27/2020,27,60
2/28/2020,28,63
2/29/2020,29,68
3/1/2020,30,75
3/2/2020,31,100
3/3/2020,32,124
3/4/2020,33,158
3/5/2020,34,221
3/6/2020,35,319
3/7/2020,36,435
3/8/2020,37,541
3/9/2020,38,704
3/10/2020,39,994
3/11/2020,40,1301
3/12/2020,41,1630
3/13/2020,42,2183
3/14/2020,43,2770
3/15/2020,44,3613
3/16/2020,45,4596
3/17/2020,46,6344
3/18/2020,47,9197
3/19/2020,48,13779
3/20/2020,49,19367
3/21/2020,50,24192
3/22/2020,51,33592
3/23/2020,52,43781
3/24/2020,53,54856
3/25/2020,54,68211
3/26/2020,55,85268
3/27/2020,56,104126
3/28/2020,57,123578
3/29/2020,58,143491
